iter	Logloss
0	0.6544469403
1	0.6222818399
2	0.5977602541
3	0.556447681
4	0.5284391385
5	0.5066754009
6	0.4814876272
7	0.4630829962
8	0.438741768
9	0.4190938496
10	0.400820733
11	0.3848214237
12	12	0.366117211313	0.353302611414	0.34316364515	0.3299843358
16	0.3206586496
1717	0.317724977118	0.3054435112
19	0.2944216519
20	0.2867391652
21	0.2786865021
22	0.2712718756
23	0.265252892
24	0.2580988542
25	0.2528514464
26	0.2471024608
27	0.2434666682
28	0.2369752037
29	0.232266908
30	0.2283717799
31	0.2224782205
32	0.2174938918
33	0.2139477695
34	0.2081601878
35	0.2039849551
36	0.2008598386
37	0.1959783055
38	0.191552029
39	0.1887137853
40	0.1857469003
41	0.1819756017
42	0.1785246698
43	0.1773835566
44	0.1736460615
45	0.1711902459
46	0.1688118607
47	0.1666679469
48	0.1651612295
49	0.1635087101
50	0.1609810856
51	0.1578482229
52	0.1562987212
53	0.1543384026
54	0.1527033698
55	0.1518156147
56	0.1496512845
57	0.1481529576
58	0.1459961409
59	0.1451356356
60	0.1429475632
61	0.141770238
62	0.1402793687
63	0.1388581649
64	0.137592772
65	0.1367113217
66	0.1350227692
67	0.1340824479
68	0.1322374043
69	0.1307430113
70	0.1298952375
71	0.1290157803
72	0.1285628317
73	0.1269520923
74	0.1256640722
75	0.1247864127
76	0.1236665103
77	0.1231591841
78	0.122779937
79	0.1215146043
80	0.1204973675
81	0.1194543745
82	0.1184290552
83	0.1179712512
84	0.1166750672
85	0.1152647088
86	0.1147496647
87	0.1134329291
88	0.1123224467
89	0.1113577574
90	0.1110972273
91	0.1101036858
92	0.1092959516
93	0.1088414225
94	0.1079484996
95	0.1072653105
96	0.1064642255
97	0.1058078389
98	0.1057101473
99	0.1048988789
100	0.1046141699
101	0.1037044255
102	0.1029300932
103	0.1024653936
104	0.1020498647
105	0.101205696
106	0.1010653546
107	0.1006880891
108	0.100045063
109	0.09890104796
110	0.09858146499
111	0.097745813
112	0.09689427184
113	0.09593951934
114	0.09523934753
115	0.09476688401
116	0.09402583509
117	0.0937025439
118	0.09308728277
119	0.09214637519
120	0.09179054684
121	0.09159745381
122	0.0907252587
123	0.09019612768
124	0.09001529
125	0.08931900473
126	0.08892749334
127	0.08827152973
128	0.08782134023
129	0.08769545597
130	0.08705313575
131	0.08646270676
132	0.08618904592
133	0.08609883687
134	0.08546644606
135	0.08488587481
136	0.08446553343
137	0.08423750672
138	0.0840924336
139	0.08399129
140	0.08367535682
141	0.08340406076
142	0.082558088
143	0.08233115494
144	0.08200172734
145	0.08138731365
146	0.08082546511
147	0.08070004321
148	0.08046379823
149	0.08004571457
150	0.0793725983
151	0.07912333962
152	0.07903099717
153	0.07886533368
154	0.07867451914
155	0.07829321483
156	0.07759310073
157	0.0772174159
158	0.0766501948
159	0.07651198844
160	0.07598689252
161	0.07579782869
162	0.07513701557
163	0.07493311884
164	0.0745940051
165	0.07442028885
166	0.07403266265
167	0.07364759425
168	0.07283803988
169	0.07225036625
170	0.0719871971
171	0.07178402877
172	0.07163314919
173	0.07119086542
174	0.07106698745
175	0.07062004947
176	0.07049241804
177	0.07029356395
178	0.07004746181
179	0.06974948447
180	0.06920053511
181	0.06877567258
182	0.06865680374
183	0.06820095004
184	0.0674911772
185	0.06710814238
186	0.06688852924
187	0.06642527442
188	0.06583639576
189	0.06576616929
190	0.06561835484
191	0.06552356572
192	0.06543680888
193	0.06532444002
194	0.06519933013
195	0.06484192872
196	0.06454608645
197	0.06448111655
198	0.06426696432
199	0.06368169313
200	0.06336639815
201	0.06284968974
202	0.06262184233
203	0.06232068346
204	0.06214819423
205	0.06160628708
206	0.06115596187
207	0.06108626427
208	0.06088444771
209	0.06054546549
210	0.06041260126
211	0.05991963505
212	0.05966510282
213	0.05952702909
214	0.05921933444
215	0.059116435
216	0.05886319651
217	0.05854539092
218	0.05808666147
219	0.05765740221
220	0.05702567776
221	0.05669216815
222	0.05623984704
223	0.05606559548
224	0.05593563348
225	0.05565751756
226	0.05528968528
227	0.05515245228
228	0.05495562331
229	0.054428153
230	0.0540255303
231	0.05347654153
232	0.05336158727
233	0.05295110485
234	0.05252897312
235	0.05239417876
236	0.05229246591
237	0.05213050094
238	0.05202419027
239	0.05187822568
240	0.05166530169
241	0.05139784622
242	0.0512292242	0243	0.0511449243	0244	0.0510973244	0245	0.0508156245	0246	0.0503869246	0247	0.0503179247	0248	0.0499232248	0249	0.0498965249	0250	0.0494448250	0.04277027772
251	0.0426862966
252	253	0.04889679253	254	0.0487509254	255	0.04850761255	0.04141727888
256	0.04134106341
257	0.04118949363
258	0.04090871007
259	0.04070865622
260	0.04066578939
261	0.04054710451
262	0.04022059534
263	0.039873284
264	0.03968376588
265	266	0.04644004266	267	0.0461253267	0.03911232483
268	0.0387966014
269	0.03836271282
270	0.0382880558
271	0.03789424592
272	0.03769937737
273	0.0376087546
274	0.03746632035
275	0.03729334479
276	0.0371433065
277	0.03675536482
278	0.03659530442
279	0.03641560289
280	0.03633743127
281	0.0362427217
282	0.03617946664
283	0.0360844308
284	0.03605228572
285	0.03601182361
286	0.0358392724
287	0.03568548891
288	0.03548394572
289	0.03537628387
290	0.03515865061
291	0.03489471773
292	0.03464211019
293	0.03458467655
294	0.03432085291
295	0.03410753361
296	0.03403879522
297	0.03395625459
298	0.03390856959
299	0.03369903225
539428139
9
